1,0.2578,1.771
2,0.0725,1.849
3,-0.1122,1.926
4,-0.2972,2.004
5,-0.4822,2.082
6,-0.6672,2.159
7,-0.8518,2.237
8,-1.0371,2.314
9,-1.2218,2.392
10,-1.4069,2.469
11,-1.5922,2.547
12,-1.7776,2.625
13,-1.9629,2.703
14,-2.1481,2.78
15,-2.3331,2.858
16,-2.5188,2.936
17,-2.7041,3.013
18,-2.8888,3.091
19,-3.0739,3.169
20,-3.2594,3.246
21,-3.4453,3.324
22,-3.6301,3.402
23,-3.8151,3.479
24,-4.0001,3.557
25,-4.1851,3.635
26,-4.37,3.712
27,-4.5547,3.79
28,-4.7405,3.867
29,-4.926,3.945
30,-5.111,4.023
31,-5.297,4.101
32,-5.4825,4.179
33,-5.6673,4.256
34,-5.8529,4.334
35,-6.0378,4.411
36,-6.2233,4.489
37,-6.4094,4.567
38,-6.5946,4.645
39,-6.7803,4.723
40,-6.9665,4.801
41,-7.1515,4.879
42,-7.3369,4.956
43,-7.5227,5.034
44,-7.7088,5.112
45,-7.8952,5.19
46,-8.0801,5.268
47,-8.2651,5.346
48,-8.4503,5.423
49,-8.6356,5.501
50,-8.8209,5.579
51,-9.0062,5.656
52,-9.1915,5.734
53,-9.3767,5.812
54,-9.5619,5.889
55,-9.7468,5.967
56,-9.9273,6.055
57,-10.1053,6.147
58,-10.2835,6.242
59,-10.4588,6.34
60,-10.6328,6.44
61,-10.8061,6.542
62,-10.978,6.646
63,-11.1487,6.753
64,-11.3171,6.863
65,-11.4842,6.974
66,-11.6502,7.087
67,-11.8143,7.202
68,-11.9771,7.32
69,-12.1382,7.44
70,-12.2987,7.562
71,-12.457,7.686
72,-12.6129,7.813
73,-12.7672,7.942
74,-12.92,8.071
75,-13.072,8.202
76,-13.2216,8.339
77,-13.3686,8.476
78,-13.5149,8.614
79,-13.6595,8.753
80,-13.8016,8.896
81,-13.941,9.041
82,-14.0793,9.187
83,-14.2164,9.334
84,-14.3508,9.484
85,-14.4821,9.636
86,-14.6121,9.789
87,-14.7413,9.943
88,-14.8679,10.1
89,-14.9914,10.259
90,-15.113,10.419
91,-15.2331,10.58
92,-15.352,10.743
93,-15.4674,10.908
94,-15.5802,11.075
95,-15.6918,11.242
96,-15.8011,11.411
97,-15.9075,11.583
98,-16.0116,11.755
99,-16.1139,11.928
100,-16.2139,12.103
101,-16.312,12.279
102,-16.4066,12.458
103,-16.4993,12.636
104,-16.5903,12.815
105,-16.6789,12.998
106,-16.7639,13.18
107,-16.8467,13.364
108,-16.9276,13.548
109,-17.0063,13.735
110,-17.0818,13.922
111,-17.1547,14.11
112,-17.2257,14.298
113,-17.2945,14.488
114,-17.3597,14.679
115,-17.4227,14.87
116,-17.4833,15.062
117,-17.5417,15.256
118,-17.5975,15.449
119,-17.6501,15.644
120,-17.7,15.839
121,-17.7477,16.034
122,-17.7931,16.232
123,-17.8338,16.431
124,-17.8777,16.628
125,-17.9249,16.824
126,-17.9777,17.018
127,-18.0339,17.212
128,-18.0946,17.405
129,-18.1587,17.595
130,-18.2279,17.785
131,-18.3006,17.973
132,-18.3779,18.16
133,-18.4587,18.344
134,-18.5441,18.526
135,-18.6328,18.707
136,-18.726,18.886
137,-18.8222,19.062
138,-18.923,19.236
139,-19.0279,19.408
140,-19.1357,19.579
141,-19.2474,19.746
142,-19.3626,19.91
143,-19.482,20.073
144,-19.6046,20.233
145,-19.7298,20.39
146,-19.8594,20.543
147,-19.9918,20.694
148,-20.1271,20.843
149,-20.2661,20.988
150,-20.4083,21.131
151,-20.5546,21.271
152,-20.7027,21.407
153,-20.8532,21.54
154,-21.0076,21.669
155,-21.1653,21.795
156,-21.3248,21.918
157,-21.4861,22.037
158,-21.6509,22.152
159,-21.8176,22.264
160,-21.9869,22.372
161,-22.158,22.476
162,-22.3323,22.577
163,-22.5094,22.674
164,-22.6872,22.767
165,-22.8667,22.856
166,-23.0483,22.941
167,-23.2331,23.022
168,-23.4181,23.099
169,-23.6049,23.172
170,-23.7927,23.241
171,-23.9827,23.306
172,-24.1743,23.367
173,-24.3664,23.424
174,-24.5596,23.476
175,-24.754,23.523
176,-24.9497,23.567
177,-25.1463,23.607
178,-25.3443,23.642
179,-25.545,23.673
180,-25.7442,23.701
181,-25.9431,23.723
182,-26.1426,23.74
183,-26.3433,23.755
184,-26.5441,23.763
185,-26.7442,23.768
186,-26.9447,23.769
187,-27.1451,23.765
188,-27.3451,23.757
189,-27.5448,23.745
190,-27.745,23.728
191,-27.9445,23.706
192,-28.1441,23.681
193,-28.3423,23.651
194,-28.5397,23.617
195,-28.7378,23.579
196,-28.9342,23.536
197,-29.1286,23.488
198,-29.323,23.437
199,-29.5157,23.382
200,-29.7078,23.322
201,-29.898,23.258
202,-30.085,23.185
203,-30.2684,23.104
204,-30.4476,23.013
205,-30.6225,22.914
206,-30.7916,22.806
207,-30.9563,22.689
208,-31.1145,22.566
209,-31.2663,22.434
210,-31.4115,22.295
211,-31.5501,22.15
212,-31.6817,21.997
213,-31.8062,21.837
214,-31.9217,21.672
215,-32.0336,21.503
216,-32.1449,21.333
217,-32.256,21.163
218,-32.3667,20.994
219,-32.477,20.826
220,-32.588,20.656
221,-32.6986,20.487
222,-32.8096,20.318
223,-32.9202,20.149
224,-33.0311,19.979
225,-33.1415,19.811
226,-33.2521,19.642
227,-33.363,19.472
228,-33.4741,19.303
229,-33.5844,19.134
230,-33.6948,18.966
231,-33.8052,18.797
232,-33.9156,18.629
233,-34.0258,18.46
234,-34.1367,18.291
235,-34.2473,18.122
